# Source: http://norvig.com/mayzner.html
Word,Frequency
FOLLOW,96691
CROSS,96690
ASK,96689
LEVELS,96688
IMMEDIATELY,96687
CERTAINLY,96686
PRINCIPLE,96685
MORAL,96684
JULY,96683
FORMED,96682
REACHED,96681
FAITH,96680
DEAL,96679
RECENT,96678
LEGAL,96677
ADMINISTRATION,96676
COMES,96675
MATERIALS,96674
POTENTIAL,96673
PRESENTED,96672
CONGRESS,96671
CIVIL,96670
DIRECTLY,96669
MEET,96668
MET,96667
PRINCIPLES,96666
EXPRESSION,96665
MYSELF,96664
BORN,96663
WIDE,96662
POST,96661
JUSTICE,96660
STRENGTH,96659
RELATION,96658
STATEMENT,96657
FINANCIAL,96656
DEAD,96655
LARGER,96654
CULTURAL,96653
HISTORICAL,96652
EXISTENCE,96651
BUILT,96650
WEIGHT,96649
REFERENCE,96648
FEELING,96647
ROUND,96646
REPORTED,96645
RISK,96644
APPEARED,96643
INCLUDED,96642
SCALE,96641
INDIVIDUALS,96640
SUPPLY,96639
MILLION,96638
DIFFERENCES,96637
WRITE,96636
DOUBT,96635
HOUR,96634
INDUSTRIAL,96633
APRIL,96632
PRIMARY,96631
BASE,96630
LETTERS,96629
INTERESTS,96628
NUMBERS,96627
SEVEN,96626
PLACES,96625
WALL,96624
COMPLEX,96623
ENTIRE,96622
TRY,96621
ARTICLE,96620
COUNTY,96619
COSTS,96618
THINKING,96617
RECORD,96616
FLOW,96615
FOLLOWS,96614
SUN,96613
ATTEMPT,96612
BAD,96611
INSTANCE,96610
COMMISSION,96609
EASILY,96608
UNIT,96607
DIED,96606
GREEN,96605
CHARLES,96604
WEEK,96603
DEMAND,96602
ACID,96601
ENVIRONMENT,96600
PROPER,96599
TAKES,96598
POSITIVE,96597
TALK,96596
ACTIVE,96595
IMAGE,96594
PLANT,96593
FREEDOM,96592
LIBRARY,96591
DARK,96590
KEY,96589
MENTIONED,96588
CO,96587
SPEAK,96586
ALLOWED,96585
WHATEVER,96584
CONCERNED,96583
MEASURE,96582
LIVES,96581
MERELY,96580
FEAR,96579
PARIS,96578
INDEPENDENT,96577
HEAT,96576
CIRCUMSTANCES,96575
THOMAS,96574
GIVING,96573
MASTER,96572
TRIED,96571
CHINA,96570
EYE,96569
UPPER,96568
GONE,96567
ACTUAL,96566
COLD,96565
FREQUENTLY,96564
EIGHT,96563
ABILITY,96562
UNLESS,96561
REGARD,96560
HENRY,96559
STATUS,96558
HEAR,96557
THOUSAND,96556
MINUTES,96555
PARTIES,96554
STOCK,96553
STUDENT,96552
RISE,96551
ARMS,96550
FACTOR,96549
CHARGE,96548
EASY,96547
CREATED,96546
STAND,96545
STARTED,96544
CONTENT,96543
SHARE,96542
PICTURE,96541
HERSELF,96540
AGREEMENT,96539
REMEMBER,96538
CONSTANT,96537
NONE,96536
POPULAR,96535
APPROPRIATE,96534
STYLE,96533
START,96532
GOODS,96531
CONSIDERABLE,96530
READY,96529
Y,96528
OCCUR,96527
NOTES,96526
FORWARD,96525
RATES,96524
RETURNED,96523
DEFINED,96522
CONSTRUCTION,96521
MINISTER,96520
USEFUL,96519
REMAIN,96518
NATIONS,96517
ISLAND,96516
STOOD,96515
CHOICE,96514
DISTRICT,96513
SPEECH,96512
ECONOMY,96511
JESUS,96510
MOVED,96509
POWERS,96508
PAUL,96507
DESIRE,96506
DIVISION,96505
BILL,96504
GERMANY,96503
HIGHLY,96502
TASK,96501
STAFF,96500
ADDITIONAL,96499
PROGRESS,96498
SITE,96497
REASONS,96496
SERIOUS,96495
RE,96494
GOLD,96493
BOY,96492
BROTHER,96491
REMAINED,96490
JANUARY,96489
SORT,96488
RELATIVE,96487
PASS,96486
PREVIOUS,96485
PAIN,96484
SEPARATE,96483
PLANNING,96482
LAY,96481
EXCHANGE,96480
DER,96479
PROCESSES,96478
ROBERT,96477
CRITICAL,96476
ANIMALS,96475
ANCIENT,96474
FUNCTIONS,96473
OCTOBER,96472
AUGUST,96471
SUFFICIENT,96470
DISCUSSED,96469
MARRIAGE,96468
REMAINS,96467
PROGRAMS,96466
INTRODUCTION,96465
EFFORT,96464
MEMORY,96463
GIRL,96462
SOURCES,96461
INTERNAL,96460
SOUL,96459
NEWS,96458
BED,96457
LE,96456
DES,96455
BROWN,96454
CAUSED,96453
CHINESE,96452
LACK,96451
HUSBAND,96450
SEPTEMBER,96449
LIVED,96448
LEARN,96447
COMMAND,96446
POLITICS,96445
DECEMBER,96444
DUTY,96443
TEACHER,96442
DAILY,96441
TECHNOLOGY,96440
ESSENTIAL,96439
ALLOW,96438
BOX,96437
IRON,96436
FAILURE,96435
DECIDED,96434
CONCEPT,96433
NOTED,96432
NAMES,96431
GETTING,96430
PATTERN,96429
AGO,96428
PHASE,96427
TEACHERS,96426
OTHERWISE,96425
VARIETY,96424
DETERMINE,96423
HENCE,96422
BLUE,96421
PREPARED,96420
FIGURES,96419
CONTACT,96418
LOT,96417
H,96416
CONTINUE,96415
MEASURES,96414
HEAVY,96413
LABOUR,96412
COMPANIES,96411
SUGGESTED,96410
SOUTHERN,96409
SUBJECTS,96408
FEATURES,96407
COMMUNICATION,96406
FULLY,96405
OFFICERS,96404
WISH,96403
OPPORTUNITY,96402
COMPUTER,96401
EXERCISE,96400
POLICE,96399
CREATE,96398
REALITY,96397
ADD,96396
WORKED,96395
LEARNED,96394
INSIDE,96393
DESCRIPTION,96392
TEACHING,96391
SUMMER,96390
GAS,96389
CAR,96388
SCIENTIFIC,96387
TITLE,96386
SOIL,96385
CLAIM,96384
OBJECTS,96383
VILLAGE,96382
TRYING,96381
TRADITIONAL,96380
PROTECTION,96379
ENTIRELY,96378
EMPLOYED,96377
SOVIET,96376
FIXED,96375
LADY,96374
PROVIDES,96373
EFFORTS,96372
CAPACITY,96371
COMPLETELY,96370
EXPRESSED,96369
MAJORITY,96368
IV,96367
PRINCIPAL,96366
PURPOSES,96365
MENTAL,96364
ACCESS,96363
SAYING,96362
RAISED,96361
REDUCED,96360
FAMILIES,96359
CHANGED,96358
COMPARED,96357
PRACTICAL,96356
SUCCESSFUL,96355
INTERESTING,96354
CODE,96353
CAUSES,96352
INCREASING,96351
PLANTS,96350
IMPOSSIBLE,96349
GROWING,96348
FACTS,96347
DEVELOP,96346
COLOR,96345
BEGIN,96344
SOMEONE,96343
EVENT,96342
SOMEWHAT,96341
MONTH,96340
OFFERED,96339
NOTICE,96338
REVOLUTION,96337
PHILOSOPHY,96336
LEADING,96335
SHOWED,96334
ONES,96333
AFFAIRS,96332
BEAUTIFUL,96331
RELATIVELY,96330
COVERED,96329
EMPLOYMENT,96328
OFFER,96327
NOVEMBER,96326
OPERATIONS,96325
WRONG,96324
NEGATIVE,96323
EXAMPLES,96322
REQUIRE,96321
ACTS,96320
ATTACK,96319
TREE,96318
ADDRESS,96317
INSTITUTIONS,96316
AID,96315
AFRICA,96314
DAVID,96313
PROPOSED,96312
HALL,96311
MOTION,96310
G,96309
RECEIVE,96308
TILL,96307
CARRY,96306
CONNECTION,96305
FEMALE,96304
SERVE,96303
WEEKS,96302
STONE,96301
QUICKLY,96300
CONSTITUTION,96299
FORMATION,96298
EVENING,96297
RACE,96296
ANIMAL,96295
PROCEDURE,96294
COLLECTION,96293
ANNUAL,96292
ROYAL,96291
SECRETARY,96290
RICH,96289
EN,96288
MALE,96287
PROFESSIONAL,96286
GREATEST,96285
CONTEXT,96284
TRUST,96283
UNITS,96282
